epoch,train_loss,valid_loss
1,0.6474812646031763,0.5953361308965527
2,0.5645472211166243,0.5498608184099631
3,0.5289157346245003,0.5257057792393454
4,0.5070496894506419,0.5094622200141188
5,0.49141771817197,0.49701365896370026
6,0.47930418765458654,0.48677635027302635
7,0.46950035659553946,0.4782636724480297
8,0.4612557404272913,0.4707026080192764
9,0.45418713975549574,0.46390998767916186
10,0.44807158752413134,0.45776499017991656
11,0.44268314297820227,0.4524773613894138
12,0.4379213395099996,0.44748624703271794
13,0.4337420030146645,0.4436243927489647
14,0.43009445560297055,0.43956473225452863
15,0.42688913601022466,0.43620310559570247
16,0.4240513401024258,0.43361059046996747
17,0.421610523491432,0.4308182301987064
18,0.41944887552995014,0.4283960799674736
19,0.4176073260123298,0.42634661199833745
20,0.41598697460106615,0.4247877120781683
21,0.414553800738955,0.42342998546112215
22,0.41331396368575035,0.4225885328753616
23,0.4122691204407831,0.4210068891554365
24,0.41130443867853256,0.41977627082763475
25,0.41051348086300554,0.4189611754782213
26,0.4098282474992581,0.4183948334503261
27,0.4091860618337813,0.4177121468471916
28,0.4086992126391358,0.41719804367623914
29,0.40823160099831957,0.4167730590033401
30,0.4078287016057547,0.41617779260016097
31,0.40749817970051017,0.41573610231416036
32,0.40718190080319333,0.41556536711630276
33,0.40691768097723524,0.41556649551962677
34,0.40669675533302885,0.4151502608547228
35,0.406466723854771,0.41511678808319546
36,0.40628726811122146,0.4146617506452597
37,0.4061199620288902,0.4145511072162939
38,0.4060079273884772,0.41459189546727093
39,0.4058586495803642,0.41459567405161313
40,0.4057410283487672,0.41435174664350155
41,0.40564255858167364,0.41443284035733274
42,0.4055173829024112,0.4137696048994642
43,0.4054361151862431,0.4140018265701165
44,0.4053592369116469,0.4141538021627997
45,0.4052488168308716,0.4138768374010622
46,0.405186382110797,0.4137801331873366
47,0.4051370633282615,0.4138627287902901
48,0.40508940348000777,0.4138997285363887
49,0.40501255776563383,0.41380000906998127
50,0.40497669696484123,0.41392776283871496
51,0.40489384190008804,0.41357575323710893
52,0.4048620726319041,0.4138355746743132
53,0.4048140279188844,0.4136745222727132
54,0.4047558214511622,0.4138543889781491
55,0.4047294933257162,0.4137212601583621
56,0.40465974676271427,0.4136815493441236
57,0.40462566863579413,0.4142261874032477
58,0.4046169501584805,0.41391777353045717
59,0.40456704975083146,0.4141394027418886
60,0.40450877949774666,0.4133321518902896
61,0.40451055310353534,0.4138704105560245
62,0.40445406761162145,0.4135808175894515
63,0.40444738840033373,0.4138245393194679
64,0.4044085813095352,0.41404572401351836
65,0.4043753553934188,0.41365300828017604
66,0.4043311157736437,0.41382710475522094
67,0.40434923183681587,0.41418594992524504
68,0.40431199474737783,0.4139340504908931
69,0.40426534373483985,0.41403396566057465
70,0.40424951141073034,0.41342531992818055
71,0.4042642497136822,0.4141043532836524
72,0.40419925432126413,0.41370657650255116
73,0.40419950869349525,0.413691590433238
74,0.4041685210991685,0.41401960868354487
75,0.4041495133746413,0.41412097607181153
76,0.404141008002398,0.4136558795765124
77,0.4041190377818871,0.4140935268572011
78,0.40412858850022454,0.4138653136124811
79,0.4041029222714433,0.4144837114763173
80,0.40409058000135,0.41432308860272443
