feature,coefficient,abs_coefficient,effect
relative_humidity_2m_mean,0.7346554,0.7346554,increase_rain_probability
cloud_cover_mean,0.44884402,0.44884402,increase_rain_probability
precipitation_sum,0.39494684,0.39494684,increase_rain_probability
pressure_msl_mean,-0.18737118,0.18737118,decrease_rain_probability
wind_speed_10m_mean,-0.18544137,0.18544137,decrease_rain_probability
temp_range,-0.182536,0.182536,decrease_rain_probability
pressure_lag1,-0.1787812,0.1787812,decrease_rain_probability
wind_speed_10m_max,0.16392097,0.16392097,increase_rain_probability
humidity_lag1,-0.15371501,0.15371501,decrease_rain_probability
humidity_rolling_3days,0.15144671,0.15144671,increase_rain_probability
rain_rolling_3days,0.11265383,0.11265383,increase_rain_probability
day_cos,0.09660149,0.09660149,increase_rain_probability
temperature_lag1,0.09538599,0.09538599,increase_rain_probability
temperature_rolling_7days,0.09509431,0.09509431,increase_rain_probability
month_cos,0.09084116,0.09084116,increase_rain_probability
rain_lag1,-0.07975894,0.07975894,decrease_rain_probability
temperature_2m_min,0.069112144,0.069112144,increase_rain_probability
temperature_rolling_3days,0.06518763,0.06518763,increase_rain_probability
rain_lag2,-0.06510911,0.06510911,decrease_rain_probability
temperature_2m_mean,0.049476318,0.049476318,increase_rain_probability
temperature_lag2,0.045948226,0.045948226,increase_rain_probability
month_sin,-0.03970616,0.03970616,decrease_rain_probability
day_sin,-0.028394738,0.028394738,decrease_rain_probability
pressure_change,-0.027534543,0.027534543,decrease_rain_probability
rain_rolling_7days,-0.01412211,0.01412211,decrease_rain_probability
temperature_2m_max,-0.012286339,0.012286339,decrease_rain_probability
temperature_lag3,0.0053644343,0.0053644343,increase_rain_probability
