max_depth,learning_rate,reg_lambda,subsample,validation_accuracy
3,0.05,0.1,0.8,0.7917808219178082
3,0.05,0.1,1.0,0.7821917808219178
3,0.05,1.0,0.8,0.7904109589041096
3,0.05,1.0,1.0,0.773972602739726
3,0.05,10.0,0.8,0.7863013698630137
3,0.05,10.0,1.0,0.7904109589041096
3,0.1,0.1,0.8,0.7986301369863014
3,0.1,0.1,1.0,0.7863013698630137
3,0.1,1.0,0.8,0.7835616438356164
3,0.1,1.0,1.0,0.7849315068493151
3,0.1,10.0,0.8,0.7917808219178082
3,0.1,10.0,1.0,0.7917808219178082
3,0.2,0.1,0.8,0.8
3,0.2,0.1,1.0,0.7986301369863014
3,0.2,1.0,0.8,0.7958904109589041
3,0.2,1.0,1.0,0.7958904109589041
3,0.2,10.0,0.8,0.7986301369863014
3,0.2,10.0,1.0,0.8
4,0.05,0.1,0.8,0.7890410958904109
4,0.05,0.1,1.0,0.7808219178082192
4,0.05,1.0,0.8,0.7904109589041096
4,0.05,1.0,1.0,0.7808219178082192
4,0.05,10.0,0.8,0.7931506849315069
4,0.05,10.0,1.0,0.7890410958904109
4,0.1,0.1,0.8,0.7904109589041096
4,0.1,0.1,1.0,0.7876712328767124
4,0.1,1.0,0.8,0.7958904109589041
4,0.1,1.0,1.0,0.7917808219178082
4,0.1,10.0,0.8,0.7917808219178082
4,0.1,10.0,1.0,0.7904109589041096
4,0.2,0.1,0.8,0.7986301369863014
4,0.2,0.1,1.0,0.7986301369863014
4,0.2,1.0,0.8,0.7972602739726027
4,0.2,1.0,1.0,0.8
4,0.2,10.0,0.8,0.8027397260273973
4,0.2,10.0,1.0,0.7972602739726027
5,0.05,0.1,0.8,0.7931506849315069
5,0.05,0.1,1.0,0.7726027397260274
5,0.05,1.0,0.8,0.7904109589041096
5,0.05,1.0,1.0,0.7767123287671233
5,0.05,10.0,0.8,0.7986301369863014
5,0.05,10.0,1.0,0.7876712328767124
5,0.1,0.1,0.8,0.7945205479452054
5,0.1,0.1,1.0,0.7835616438356164
5,0.1,1.0,0.8,0.7917808219178082
5,0.1,1.0,1.0,0.7849315068493151
5,0.1,10.0,0.8,0.8
5,0.1,10.0,1.0,0.7821917808219178
5,0.2,0.1,0.8,0.7835616438356164
5,0.2,0.1,1.0,0.7835616438356164
5,0.2,1.0,0.8,0.7945205479452054
5,0.2,1.0,1.0,0.7863013698630137
5,0.2,10.0,0.8,0.7876712328767124
5,0.2,10.0,1.0,0.7972602739726027
